Year,T
2004,13.08
2004,16.61
2004,18.13
2004,19.74
2004,19.93
2004,13.07
2004,4.64
2004,8.56
2004,11.61
2004,5.77
2004,3.93
2004,7.16
2004,8.83
2004,11.03
2004,12.77
2004,11.12
2004,15.49
2004,16.89
2004,13.27
2004,6.89
2004,8.72
2004,9.36
2004,7.69
2004,10.42
2004,14.82
2004,17.86
2004,15.32
2004,5.48
2004,6.47
2004,10.97
2004,10.08
2004,11.72
2004,15.88
2004,12.65
2004,10.21
2004,18.15
2004,21.2
2004,11.62
2004,5.85
2004,13.47
2004,14.21
2004,13.02
2004,17.77
2004,9.36
2004,14.06
2004,13.71
2004,8.87
2004,7.6
2004,6.99
2004,8.65
2004,11.54
2004,16.93
2004,13.51
2004,14.48
2004,15.89
2004,13.08
2004,12.21
2004,6.09
2004,6.68
2004,12.7
2004,16.86
2004,18.68
2004,19.48
2004,20.12
2004,21.48
2004,21.6
2004,20.19
2004,13.52
2004,12.14
2004,10.63
2004,11.75
2004,13.87
2004,14.05
2004,18.33
2004,20.02
2004,18.98
2004,16.39
2004,17.25
2004,18.25
2004,19.27
2004,20.44
2004,11.78
2004,10.78
2004,14.94
2004,18.5
2004,19.53
2004,19.21
2004,20.94
2004,17.41
2004,18.84
2004,17.61
2004,13.16
2004,14.27
2004,15.79
2004,16.96
2004,15.17
2004,18.25
2004,20.46
2004,21.67
2004,22.82
2004,23.65
2004,23.45
2004,22.47
2004,20.07
2004,13.05
2004,15.15
2004,17.98
2004,19.7
2004,20.06
2004,20.71
2004,20.92
2004,22.49
2004,23.36
2004,23.81
2004,23.89
2004,23.68
2004,24.76
2004,21.67
2004,20.67
2004,23.02
2004,22.88
2004,23.26
2004,23.85
2004,20.79
2004,17.4
2004,20.99
2004,24.33
2004,25.86
2004,25.6
2004,23.43
2004,22.62
2004,23.67
2004,24.61
2004,25.14
2004,25.24
2004,24.99
2004,24.84
2004,25.34
2004,25.25
2004,26.07
2004,26.5
2004,26.71
2004,27.86
2004,28.87
2004,28.85
2004,29.49
2004,30.3
2004,29.15
2004,28.76
2004,29.74
2004,30.42
2004,29.82
2004,28.43
2004,25.87
2004,26.91
2004,25.26
2004,26.55
2004,27.57
2004,27.06
2004,26.83
2004,26.31
2004,28.08
2004,29.14
2004,30.26
2004,28.07
2004,26.07
2004,26.52
2004,27.35
2004,27.8
2004,29.18
2004,28.67
2004,28.31
2004,26.26
2004,26.31
2004,25.73
2004,28.41
2004,28.18
