Year,T
2009,7.56
2009,11.3
2009,17.38
2009,4.15
2009,0.17
2009,5.09
2009,5.97
2009,9.46
2009,15.18
2009,3.18
2009,4.68
2009,8.45
2009,1.86
2009,5.42
2009,0.02
2009,-1.01
2009,7.85
2009,8.3
2009,8.34
2009,5.61
2009,8.28
2009,12.12
2009,14.16
2009,2.22
2009,5.51
2009,5.06
2009,0.4
2009,-2.31
2009,2.17
2009,6.34
2009,9.58
2009,10.35
2009,6.77
2009,7.05
2009,3.8
2009,10.06
2009,15.44
2009,17.35
2009,16.2
2009,15.69
2009,16.96
2009,12.69
2009,12.74
2009,14.42
2009,6.32
2009,7.57
2009,7.7
2009,13.5
2009,14.51
2009,7.37
2009,10.29
2009,7.38
2009,6.38
2009,9.91
2009,15.35
2009,17.14
2009,21.71
2009,14.91
2009,4.52
2009,2.74
2009,5.6
2009,10.7
2009,15.82
2009,20.68
2009,20.52
2009,21.27
2009,20.67
2009,21.5
2009,20.11
2009,5.24
2009,4.14
2009,3.62
2009,8.27
2009,10.1
2009,13.56
2009,16.71
2009,16.93
2009,17.36
2009,16.05
2009,17.16
2009,18.85
2009,20.84
2009,19.34
2009,12.64
2009,16.04
2009,13.67
2009,5.77
2009,11.08
2009,15.65
2009,12.48
2009,14.13
2009,13.18
2009,12.51
2009,18.18
2009,11.79
2009,8.03
2009,10.19
2009,18.13
2009,20.81
2009,14.39
2009,14.39
2009,16
2009,13.46
2009,15.18
2009,15.95
2009,17.79
2009,17.53
2009,17.9
2009,16.09
2009,17.3
2009,20.55
2009,22.94
2009,22.91
2009,21.94
2009,22.78
2009,22.96
2009,20.96
2009,20.3
2009,21.76
2009,23.05
2009,24.18
2009,21.42
2009,17.73
2009,17.38
2009,21.15
2009,24.16
2009,25.45
2009,26.13
2009,21.56
2009,20.94
2009,20.1
2009,22.7
2009,25.6
2009,23.87
2009,24.1
2009,19.39
2009,16.79
2009,16.99
2009,18.5
2009,19.12
2009,21.37
2009,23.3
2009,22.41
2009,22.62
2009,24.15
2009,24.34
2009,20.6
2009,21.53
2009,22.99
2009,23.49
2009,25.32
2009,25.26
2009,25.17
2009,23.02
2009,21.45
2009,22.89
2009,25.77
2009,26.23
2009,27.33
2009,27.96
2009,25.9
2009,26.15
2009,27.47
2009,28.12
2009,27.41
2009,27.73
2009,28.68
2009,28.63
2009,29.37
2009,29.8
2009,29.94
2009,30.01
2009,30.75
2009,31.3
2009,31.81
2009,31.69
2009,32.02
2009,32.69
2009,32.64
2009,28.6
2009,28.99
2009,30.62
2009,32.13
2009,32.88
2009,32.85
2009,26.87
2009,27.12
2009,28.62
2009,30.7
2009,31.94
2009,32.81
2009,32.99
2009,33.72
2009,34.62
2009,34.45
2009,33.92
2009,33.16
2009,30.06
2009,29.08
2009,30.45
2009,28.62
2009,29
2009,27.22
2009,27.81
2009,28.31
2009,32.01
2009,31.45
2009,26.22
2009,28.35
2009,27.64
2009,26.87
2009,26.7
2009,26.92
2009,28.26
2009,29.7
2009,30.08
2009,30.63
2009,30.09
2009,31.04
2009,30.64
2009,29.91
2009,31
2009,29.69
2009,28.99
2009,28.15
2009,28.72
2009,30.98
2009,31.36
2009,31.62
2009,30.27
2009,31.22
2009,30.42
2009,27.88
2009,27.52
2009,27.3
2009,29.11
2009,30.6
2009,30.02
2009,27.28
2009,26.9
2009,25.4
2009,25.51
2009,24.77
2009,25.93
2009,27.37
2009,28.43
2009,24.7
2009,25.73
2009,27.83
2009,28.6
2009,28.77
2009,28.18
2009,27.19
2009,24.18
2009,22.35
2009,22.06
2009,21.07
2009,22.91
2009,21.43
2009,22.01
2009,22.82
2009,24
2009,24.98
2009,25.86
2009,19.14
2009,18.07
2009,18.21
2009,19.17
2009,22.49
2009,24.59
2009,21
2009,18.36
2009,21.57
2009,23.57
2009,16.99
2009,17.57
2009,18.68
2009,18.22
2009,21.76
2009,17.26
2009,25.1
2009,12.75
2009,10.74
2009,13.56
2009,16.49
2009,18.93
2009,22.71
2009,18.24
2009,13.56
2009,14.13
2009,13.02
2009,15.79
2009,18.67
2009,18.91
2009,13.72
2009,10.71
2009,14.01
2009,17.49
2009,11.29
2009,11.67
2009,15.93
2009,18.51
2009,10.74
2009,12.61
2009,14.2
2009,15.51
2009,15.16
2009,15.77
2009,16.16
2009,15.72
2009,15.69
2009,17.34
2009,17.94
2009,17.2
2009,15.33
2009,14.94
2009,15.96
2009,17.86
2009,17.63
2009,8.68
2009,7.43
2009,9.3
2009,12.87
2009,13.63
2009,12.45
2009,11.45
2009,12.22
2009,9.31
2009,8.34
2009,7.92
2009,9.33
2009,12.84
2009,12.97
2009,6.99
2009,5.13
2009,3.9
2009,1.64
2009,-0.22
2009,0.63
2009,3.1
2009,4.31
2009,6.94
2009,-2
2009,-1.62
2009,2.88
2009,5.23
2009,9.09
2009,9.81
2009,0.46
2009,1.22
2009,4.7
2009,5.84
2009,4.21
2009,4.85
2009,8.74
2009,12.87
2009,16.99
2009,2.32
2009,-1.86
2009,0.11
2009,0.11
2009,1.09
2009,1.17
2009,5.76
2009,3.96
2010,1.51
2010,2.83
2010,1.87
2010,-2.26
2010,-1.6
2010,2.05
2010,-3.32
2010,-5.88
2010,-5.07
2010,-3.47
2010,1.83
2010,2.83
2010,5.76
2010,8.44
2010,8.17
2010,7.53
2010,7.87
2010,10.74
2010,13.69
2010,14.99
2010,10.01
2010,12.61
2010,12.85
2010,7.09
2010,6.67
2010,6.01
2010,10.29
2010,11.8
2010,2.53
2010,-1.76
2010,-0.08
2010,3.73
2010,5.36
2010,4.52
2010,4.9
2010,6.8
2010,3.58
2010,4.38
2010,4.29
2010,-0.61
2010,0.02
2010,0.38
2010,0.28
2010,2.88
2010,2.6
2010,0.1
2010,1.14
2010,2.59
2010,5.8
2010,8.07
2010,12.23
2010,11.69
2010,3.18
2010,1.16
2010,1.59
2010,5.29
2010,4.65
2010,7.05
2010,8.73
2010,6
2010,4.64
2010,6.9
2010,9.51
2010,11.98
2010,12.55
2010,11.35
2010,13.8
2010,14.47
2010,12.32
2010,10.01
2010,9.81
2010,10.46
2010,11.54
2010,11.11
2010,10.06
2010,9.52
2010,9.31
2010,13.36
2010,4.29
2010,3.36
2010,8.17
2010,13.15
2010,15.73
2010,10.45
2010,10.77
2010,13.69
2010,10.56
2010,12.89
2010,15.57
2010,17.98
2010,19.3
2010,19.1
2010,14.77
2010,20.06
2010,21.65
2010,21.26
2010,16.3
2010,11.82
2010,13.8
2010,16.08
2010,17.9
2010,19.61
2010,18.37
2010,18.69
2010,19.58
2010,19.75
2010,17.91
2010,14.51
2010,14.15
2010,16.47
2010,18.39
2010,19.23
2010,21.1
2010,18.05
2010,16.84
2010,15.79
2010,14.14
2010,16.81
2010,20.66
2010,22.58
2010,18.39
2010,18.52
2010,18.11
2010,18.78
2010,21.75
2010,22.39
2010,21.3
2010,16.74
2010,16.93
2010,23.25
2010,24.59
2010,24.37
2010,23.8
2010,21.71
2010,21.52
2010,23.2
2010,23.74
2010,22.09
2010,24.28
2010,25.19
2010,24.6
2010,25.54
2010,26.82
2010,25.67
2010,25.23
2010,26.47
2010,26.81
2010,27.34
2010,27.51
2010,27.61
2010,28.02
2010,28.78
2010,27.47
2010,25.97
2010,27.53
2010,28.82
2010,29.47
2010,29.59
2010,28.17
2010,26.13
2010,27.68
2010,28.69
2010,29.67
2010,29.51
2010,29.1
2010,29.18
2010,30.32
2010,30.35
2010,30.51
2010,31.06
2010,31.07
2010,31.59
2010,32.06
2010,32.36
2010,30.23
2010,28.14
2010,31.06
2010,31.57
2010,29.84
2010,27.22
2010,27.37
2010,27.53
2010,26
2010,25.85
2010,27.93
2010,28.41
2010,29.24
2010,28.57
2010,26.24
2010,26.09
2010,26.76
2010,29.22
2010,29.06
2010,29.89
2010,30.38
2010,30.73
2010,31.05
2010,31.85
2010,31.81
2010,30.93
2010,30.66
2010,31.07
2010,30.52
2010,29.17
2010,29.39
2010,31.25
2010,29.65
2010,27.28
2010,27.7
2010,29.05
2010,30.39
2010,31.08
2010,32.45
2010,33.01
2010,33.02
2010,33.52
2010,34.58
2010,33.28
2010,31.85
2010,32
2010,32.79
2010,33.4
2010,34.25
2010,34.59
2010,34.83
2010,34.22
2010,34.1
2010,33.4
2010,32.64
2010,30.72
2010,31.89
2010,32.69
2010,33.46
2010,34.04
2010,35.31
2010,31.25
2010,25.71
2010,28.13
2010,27.77
2010,28.72
2010,31.05
2010,31.27
2010,31.38
2010,28.27
2010,26.74
2010,23.95
2010,23.49
2010,25.29
2010,27.78
2010,25.58
2010,25.14
2010,27.75
2010,27.74
2010,27.9
2010,28.11
2010,26.97
2010,27.23
2010,26.14
2010,26.66
2010,27.81
2010,27.85
2010,27.63
2010,26.45
2010,25.36
2010,26.61
2010,27.16
2010,25.59
2010,23.21
2010,19.23
2010,16.93
2010,20.32
2010,20.72
2010,21.11
2010,19.69
2010,19.26
2010,14.78
2010,14.56
2010,15.6
2010,18.25
2010,20.55
2010,19.64
2010,19.77
2010,20.75
2010,21.68
2010,19.49
2010,18.81
2010,16.03
2010,18.42
2010,18.98
2010,18.79
2010,21.12
2010,22.41
2010,21.36
2010,21.96
2010,22.71
2010,21.62
2010,21.53
2010,22.16
2010,18.7
2010,17.56
2010,13.37
2010,11.7
2010,14.09
2010,16.86
2010,16.12
2010,12.84
2010,12.85
2010,11.45
2010,9
2010,9.26
2010,10.79
2010,14.02
2010,16.21
2010,18.04
2010,19.23
2010,17.59
2010,9.73
2010,9.35
2010,9.7
2010,10.4
2010,11.33
2010,7.32
2010,9.1
2010,13.84
2010,19.99
2010,20.51
2010,17.83
2010,22.92
2010,8.88
2010,4.49
2010,6.57
2010,10.31
2010,14.68
2010,4.77
2010,6.28
2010,8.95
2010,12.34
2010,10.36
2010,3.96
2010,3.2
2010,5.01
2010,5.04
2010,6.77
2010,8.99
2010,9.46
2010,1.63
2010,1.86
2010,7.33
2010,13.99
2010,7.1
2010,4.3
2010,4.55
2010,7.21
2010,14
2010,14.39
2010,7.54
2010,6.28
2010,5.27
2010,1.2
2010,-0.98
2010,1.85
2010,5.81
2010,14.21
2010,15.26
2010,11.23
2011,0.54
2011,0.78
2011,5.1
2011,7.45
2011,5.98
2011,6.81
2011,8.04
2011,4.69
2011,0.1
2011,-2.44
2011,-5.39
2011,-4.62
2011,-2.79
2011,0.59
2011,5
2011,5.19
2011,7.57
2011,7.06
2011,4.69
2011,1.07
2011,-0.59
2011,4.66
2011,3.66
2011,2.09
2011,4.15
2011,4.91
2011,6.62
2011,10.7
2011,12.23
2011,12.35
2011,7.85
2011,-4.86
2011,-7.73
2011,-6.36
2011,-5.25
2011,-0.33
2011,3.48
2011,2.48
2011,3.96
2011,-2.9
2011,-3.08
2011,2.48
2011,6
2011,8.88
2011,11.09
2011,15.68
2011,16.8
2011,18.46
2011,18.92
2011,17.28
2011,18.83
2011,14.7
2011,10.9
2011,17.86
