Year,T
2006,19.4
2006,16.05
2006,15.56
2006,15.73
2006,12.01
2006,9.13
2006,11.05
2006,15.44
2006,18.17
2006,10.72
2006,10.5
2006,17.49
2006,12.49
2006,9.47
2006,13.94
2006,18.09
2006,8.95
2006,10.54
2006,17.38
2006,19.45
2006,12.12
2006,11.27
2006,9.7
2006,10.72
2006,11.54
2006,9.25
2006,12.94
2006,17.1
2006,14.08
2006,13.03
2006,11.24
2006,16.22
2006,16.62
2006,13.43
2006,10.05
2006,13.1
2006,12.71
2006,7.85
2006,11
2006,11.54
2006,13.26
2006,5.06
2006,4.61
2006,5.98
2006,12.5
2006,18.36
2006,20.55
2006,11.92
2006,6.6
2006,4.11
2006,7.81
2006,13.43
2006,18.55
2006,13.94
2006,12.62
2006,12.67
2006,11.58
2006,13.71
2006,17.59
2006,19.16
2006,19.7
2006,18.96
2006,15.67
2006,19.95
2006,21.04
2006,20.33
2006,21.56
2006,21
2006,19.77
2006,23.47
2006,23.51
2006,20.07
2006,15.23
2006,15.18
2006,21.17
2006,20.79
2006,19.03
2006,22.01
2006,20.52
2006,12.96
2006,11.22
2006,9.16
2006,7.99
2006,12.31
2006,14.55
2006,18.11
2006,17.47
2006,19.16
2006,21.47
2006,23.14
2006,23.2
2006,23.53
2006,24.41
2006,23.89
2006,22.98
2006,23.22
2006,24.35
2006,17.14
2006,18.78
2006,18.85
2006,21.12
2006,21.73
2006,22.34
2006,22.55
2006,23.78
2006,25.46
2006,26.55
2006,26.25
2006,26.35
2006,25.14
2006,23.76
2006,23.88
2006,24.29
2006,25.57
2006,25.46
2006,18.59
2006,20.08
2006,23.2
2006,23.65
2006,22.39
2006,23.82
2006,25.43
2006,25.22
2006,24.72
2006,25.97
2006,25.87
2006,25.1
2006,25.76
2006,27.28
2006,27.29
2006,20.93
2006,21.8
2006,24.89
2006,23.41
2006,21.03
2006,21.02
2006,22.5
2006,24.52
2006,26.63
2006,25.74
2006,25.84
2006,27
2006,27.38
2006,27.65
2006,28.33
2006,28.25
2006,28.5
2006,26.68
2006,25.17
2006,24.36
2006,23.02
2006,23.82
2006,26.31
2006,26.49
2006,26.9
2006,27.32
2006,27.23
2006,27.72
2006,28.55
2006,29.27
2006,28.87
2006,27.88
2006,28.39
2006,29.54
2006,27.72
2006,28.04
2006,27.86
2006,28.37
2006,26.43
2006,25.86
2006,24.98
2006,26.52
2006,26.47
2006,27.34
2006,28.06
2006,28.38
2006,27.16
2006,26.04
2006,26.92
2006,25.88
2006,26.43
2006,25.06
2006,24.81
2006,25.26
2006,25.89
2006,25.78
2006,26.35
2006,27.12
2006,27.29
2006,27.37
2006,27.27
2006,27.86
2006,27.87
2006,28.26
2006,27.71
2006,28.36
2006,29.44
2006,29.63
2006,28.94
2006,28.43
2006,28.55
2006,28.62
2006,29.07
2006,27.18
2006,25.91
2006,25.43
2006,25.66
2006,26.94
2006,27.18
2006,27.77
2006,27.57
2006,27.25
2006,27.36
2006,27.54
2006,27.73
2006,28.47
2006,28.23
2006,27.56
2006,26.82
2006,26.97
2006,27.93
2006,27.58
2006,28.01
2006,27.76
2006,27.41
2006,28.11
2006,28.53
2006,28.94
2006,29.6
2006,29.68
2006,27.83
2006,28.87
2006,28.98
2006,28.17
2006,27.75
2006,28.44
2006,28.14
2006,27.65
2006,27.62
2006,27.41
2006,27.21
2006,26.57
2006,26.53
2006,28.01
2006,28.47
2006,27.51
2006,27.31
2006,24.86
2006,26.25
2006,26.77
2006,25.93
2006,25.33
2006,27
2006,27.02
2006,26.14
2006,26.65
2006,26.16
2006,28.1
2006,29.03
2006,27.45
2006,24
2006,23.12
2006,22.53
2006,25.97
2006,29.03
2006,28.45
2006,21.21
2006,20.16
2006,21.14
2006,22.58
2006,24.54
2006,22.57
2006,26.15
2006,26.08
2006,24.83
2006,25.16
2006,26.04
2006,27.2
2006,25.99
2006,21.52
2006,22.02
2006,23.92
2006,23.69
2006,22.31
2006,23.02
2006,18.48
2006,20.28
2006,23.22
2006,25.74
2006,23.77
2006,25.02
2006,17.27
2006,14.46
2006,20.83
2006,13.32
2006,12.93
2006,16.74
2006,21.2
2006,24.97
2006,16.62
2006,14.8
2006,16.44
2006,20.06
2006,22.57
2006,15.95
2006,12.26
2006,9.24
2006,13.44
2006,18.74
2006,19.64
2006,16.49
2006,17.24
2006,21.67
2006,23.13
2006,12.03
2006,10.7
2006,17.19
2006,21.36
2006,14.59
2006,8.76
2006,10.43
2006,12.72
2006,10.61
2006,8.06
2006,8.33
2006,12.33
2006,15.33
2006,15.34
2006,15.55
2006,18.15
2006,19.23
2006,20.89
2006,21.12
2006,10.03
2006,4.22
2006,6.71
2006,5.69
2006,3.73
2006,5.76
2006,12.34
2006,11.36
2006,3.57
2006,4.44
2006,10.83
2006,17.33
2006,15.37
2006,12.54
2006,13.57
2006,17.14
2006,18.55
2006,19.3
2006,18.7
2006,17.54
2006,18.33
2006,13.44
2006,9.2
2006,9.24
2006,8.27
2006,6.33
2006,4.61
2006,7.89
2006,15.27
2006,18.98
2006,12.9
2006,9.03
2007,5.37
2007,5.4
2007,7.73
2007,11.42
2007,12.26
2007,14.26
2007,11.21
2007,8.1
2007,8.79
2007,9.56
2007,15.2
2007,18.23
2007,20.03
2007,14.4
2007,2.05
2007,-0.3
2007,0.95
2007,3.05
2007,5.45
2007,8.78
2007,10.08
2007,7.14
2007,5.74
2007,5.39
2007,7.66
2007,8.4
2007,11.41
2007,4.47
2007,5.53
2007,8.08
2007,5.38
2007,6.79
2007,4.94
2007,3.98
2007,8.59
2007,8.98
2007,12.06
2007,15.52
2007,16.95
2007,10
2007,7.11
2007,8.98
2007,16.03
2007,10.22
2007,2.97
2007,1.42
2007,0.99
2007,7.53
2007,6.81
2007,12.34
2007,16.59
2007,17.72
2007,16.9
2007,16.66
2007,18.32
2007,11.82
2007,14.47
2007,16.66
2007,19.31
2007,16.25
2007,11.8
2007,9.27
2007,6.06
2007,9.94
2007,10.51
2007,13.98
2007,15.42
2007,17.39
2007,19.33
2007,17.58
2007,18.97
2007,18.09
2007,18.09
2007,18.94
2007,16.55
2007,14.61
2007,17.69
2007,19.62
2007,20.2
2007,20.29
2007,19.68
2007,20.14
2007,20.72
2007,20.68
2007,20.21
2007,21.82
2007,21.97
2007,22.13
2007,21.12
2007,19.45
2007,21.11
2007,21.38
2007,22.59
2007,18.19
2007,15.33
2007,14.07
2007,5.34
2007,7.38
2007,12.25
2007,18.94
2007,18.73
2007,16.82
2007,22.03
2007,13.97
2007,13.26
2007,15.03
2007,17.82
2007,17.36
2007,18.37
2007,18.7
2007,19.05
2007,20.94
2007,22.01
2007,22.15
2007,21.07
2007,18.26
2007,19.31
2007,21.82
2007,22.12
2007,21.97
2007,22.36
2007,23.01
2007,22.6
2007,24.12
2007,24.38
2007,24.66
2007,24.32
2007,23.62
2007,22.66
2007,21.09
2007,22.23
2007,23.87
2007,24.38
2007,25.07
2007,25.15
2007,22.77
2007,20.27
2007,20.45
2007,20.03
2007,20.63
2007,21.83
2007,23.19
2007,24.57
2007,24.13
2007,23.07
2007,22.28
2007,22.81
2007,22.51
2007,24.48
2007,24.23
2007,24.47
2007,24.73
2007,25.22
2007,25.97
2007,25.55
2007,25.56
2007,25.45
2007,27.03
2007,27.15
2007,27.02
2007,27.16
2007,27.15
2007,27.44
2007,27.56
2007,26.92
2007,26.25
2007,25.52
2007,26
2007,27.67
2007,27.78
2007,26.38
2007,26.02
2007,25.62
2007,25.68
2007,25.86
2007,25.87
2007,26.65
2007,26.81
2007,26.58
2007,26.12
2007,26.37
2007,25.55
2007,24.96
2007,25.15
2007,24.58
2007,24.89
2007,25.91
2007,26.03
2007,26.32
2007,26.8
2007,27.4
2007,27.69
2007,27.79
2007,27.54
2007,26.07
2007,25.99
2007,25.84
2007,25.37
2007,24.89
2007,24.66
2007,24.93
2007,26.85
2007,27.63
2007,26.3
2007,25.07
2007,24.86
2007,24.61
2007,24.96
2007,26.6
2007,26.51
2007,27.53
2007,27.93
2007,27.4
2007,27.37
2007,27.53
2007,27.66
2007,27.56
2007,27.54
2007,28.2
2007,27.6
2007,27.79
2007,28.79
2007,29.49
2007,30.11
2007,30.36
2007,29.73
2007,28.38
2007,27.05
2007,27.49
2007,27.26
2007,27.17
2007,27.31
2007,27.53
2007,27.96
2007,28.1
2007,27.93
2007,27.31
2007,27.06
2007,27.07
2007,26.06
2007,26.37
2007,26.56
2007,26.43
2007,25.31
2007,24.61
2007,25.58
2007,26.39
2007,26.27
2007,26.9
2007,26.88
2007,27.36
2007,27.26
2007,27.36
2007,26.4
2007,24.23
2007,25.71
2007,26.6
2007,26.07
2007,24.04
2007,23.73
2007,25.46
