Year,T,H,P
1990,10.82,5.17,1.96
1990,8.9,5.42,6.95
1990,7.59,2.5,0
1990,7.91,2.32,0.1
1990,10.2,2.98,0
1990,11.12,3.67,0
1990,12.31,4.83,0
1990,13.55,5.62,0
1990,16.74,5.72,0
1990,17.76,5.15,0
1990,15.06,5.61,0.03
1990,12.55,8.2,7.91
1990,12.44,8.49,18.43
1990,10.44,6.95,4.13
1990,9.94,6,2.67
1990,9.25,6.17,9.39
1990,6.82,4.34,1.68
1990,7.9,4.27,0
1990,8.23,4.86,0
1990,8.68,3.57,0
1990,9.74,3.07,0
1990,12.1,3.55,0
1990,13.09,3.55,0.01
1990,13.03,3.16,0
1990,13.51,3.01,0
1990,11.62,3.58,0
1990,10.15,2.72,0
1990,12.22,2.95,0
1990,12.2,3.72,0
1990,9.56,5.71,4.05
1990,8.83,4.42,0.49
1990,8.51,4.39,0.44
1990,8.82,3.61,0
1990,9.1,3.29,0.41
1990,7.61,4.86,10.14
1990,8.55,3.89,0
1990,9.67,4.37,0.05
1990,8.63,4.1,0.08
1990,7.71,2.36,0
1990,10,3.31,0
1990,12.72,4.13,0
1990,14.98,5.09,0.01
1990,11.65,6.92,0
1990,8.7,4.58,0.19
1990,3.4,2.46,0.33
1990,3.71,1.86,0
1990,6.6,4.11,20.43
1990,9.5,7.22,43.32
1990,7.04,4.93,1.44
1990,6.72,3.53,0
1990,9.84,3.88,0
1990,12.8,4.08,0
1990,15.03,4.74,0
1990,16.58,4.79,0
1990,16.72,4.95,0
1990,16.48,5.94,0
1990,15.42,5.94,0
1990,14.05,5.9,0
1990,14.72,5.66,0.88
1990,14.12,6.08,0.03
1990,13.18,6.8,0.04
1990,14.17,7.35,0.27
1990,12,6.88,0.31
1990,9.33,4.81,0.64
1990,11.95,4.37,0
1990,13.26,4.53,0
1990,11.9,5.43,0
1990,11.38,6.54,0.33
1990,11.56,6.38,1.73
1990,8.24,4.4,1.59
1990,6.48,3.64,0.41
1990,8.25,3.52,0.01
1990,10.16,3.83,0
1990,14.77,4.08,0
1990,15.58,3.85,0
1990,16.45,4.66,0
1990,17.02,5.56,0.01
1990,18.81,5.35,0
1990,19.35,5.87,0
1990,18.65,6.09,0
1990,17.08,6.35,0
1990,17.35,5.91,0
1990,14.71,6.11,0
1990,14.37,6.49,0
1990,13.67,6.66,0.01
1990,11.97,7.15,0.27
1990,12.38,6.66,0.16
1990,12.06,6.26,0
1990,12.58,6.29,0.02
1990,13.27,6.49,0.01
1990,13.73,6.86,0.02
1990,15.4,6.77,0.07
1990,17.52,6.32,3.08
1990,15.63,8.36,3.5
1990,15.13,8.35,0.04
1990,14.49,7.51,0
1990,13.75,7.63,0.02
1990,14.39,6.82,0
1990,16.76,6.4,0
1990,20.07,5.54,0
1990,20.56,6.19,0
1990,20.23,6.86,0
1990,18.78,7.27,0
1990,16.57,6.72,0
1990,14.01,7.27,0.76
1990,13.67,7.36,3.16
1990,14.74,7.72,1.57
1990,15.14,7.81,0
1990,15.52,7.99,0
1990,16.25,7.9,0
1990,15.78,7.37,0
1990,15.49,7.31,0.26
1990,15.44,8.01,1.42
1990,16.04,6.13,0.01
1990,18.08,5.24,0
1990,19.94,6.98,0
1990,19.39,7.67,0
1990,18.29,8.31,0.03
1990,17.1,6.51,0.11
1990,14.71,5.19,2.33
1990,16.41,4.41,0
1990,16.02,6.39,0
1990,18.8,6.78,0
1990,23.23,5.19,0
1990,25.32,5.16,0
1990,25.16,5.79,0
1990,19.86,8.18,0
1990,16.26,7.4,0
1990,15.26,6.45,0
1990,13.76,6.59,0
1990,16.03,6.92,0
1990,16.11,6.71,0
1990,16.42,7.07,0
1990,14.87,7.48,0
1990,15.95,6.26,0
1990,17.14,6.21,0
1990,14.79,7.16,0
1990,15.21,6.29,0
1990,15.94,5.74,0
1990,17.59,6.51,0
1990,17.04,8.19,0
1990,18.99,7.83,0
1990,16.91,7.88,0.09
1990,17.8,5.02,0
1990,17.11,5.85,0
1990,16.91,7.01,0.03
1990,15.74,7.73,5.93
1990,15.89,7.88,15.54
1990,16.22,7.42,0.06
1990,16.6,7.74,0.02
1990,16.64,7.05,0
1990,18.28,5.97,0
