Year,T,H,P
1981,15.33,4.02,0.04
1981,16.39,4.83,0
1981,15.26,4.9,0
1981,12.09,4.16,0.04
1981,12.7,3.09,0.04
1981,10.7,2.29,0
1981,11.77,2.92,0
1981,10.91,3.08,0.1
1981,11.07,1.94,0
1981,13.13,2.48,0.03
1981,11.48,5.79,7.45
1981,11.19,6.62,0.95
1981,12.69,6.18,0
1981,13.08,5.6,0.05
1981,12.57,6.01,0.06
1981,11.95,6.03,0
1981,12.36,5.18,0
1981,13.71,4.76,0
1981,12.42,4.63,0.03
1981,12.69,3.84,0
1981,13.91,3.8,0.02
1981,12.57,4.08,0.58
1981,10.07,5.73,1.5
1981,8.17,3.65,0
1981,8.22,2.6,0
1981,8.32,2.72,0.12
1981,7.98,4.8,8.69
1981,7.88,6.24,24.94
1981,6.92,6.34,10.56
1981,4.49,3.99,0.87
1981,3.64,2.62,0.06
1981,7.23,2.37,0.01
1981,8.54,2.34,0.08
1981,8.4,2.29,0
1981,8.74,2.34,0.01
1981,9.86,2.36,0
1981,9.08,3.09,0
1981,10.38,3.03,0.98
1981,9.24,5.32,18.81
1981,11,6.86,2.15
1981,10.66,5.05,0.02
1981,11.01,6.07,0.07
1981,13.14,5.53,0
1981,14.36,3.64,0
1981,14.21,5.21,0
1981,15.5,4.27,0
1981,17.27,3.74,0.02
1981,17.11,5.63,0
1981,18.73,4.77,0
1981,18.77,4.73,0.02
1981,13.74,3.23,0.02
1981,11.7,1.94,0
1981,14.72,2.7,0
1981,14.21,3.26,0
1981,9.46,5.79,0.6
1981,7.59,5.1,6.06
1981,7.99,3.85,4.66
1981,9.13,2.79,0.17
1981,8.47,5.88,23.97
1981,8.69,6.81,18.16
1981,8.26,6.08,2.42
1981,9.79,5.46,0.62
1981,8.93,6.26,3.79
1981,6.13,5.78,11.34
1981,8.59,5.46,0.12
1981,9.89,5.72,0.16
1981,11.79,4.7,0.02
1981,12.68,3.88,0.01
1981,13.81,4.05,0
1981,13.83,4.01,0.09
1981,12.34,4.59,0.27
1981,8.34,4.99,0.73
1981,8.98,4.64,0.04
1981,11.74,4.52,0.01
1981,13.8,4.84,0
1981,12.26,3.76,0
1981,12.76,4.47,0.34
1981,11.14,5.59,13.38
1981,9.06,5.4,2.72
1981,10.08,6,0.02
1981,13.21,6.78,0.04
1981,14.22,5.45,0
1981,15.83,4.9,0
1981,15.41,6.11,0.89
1981,8.81,5.05,3.11
1981,8.85,4.7,0.14
1981,11.13,5.32,0.03
1981,11.88,5.96,0.01
1981,13.08,4.72,0.01
1981,13.77,3.32,0.01
1981,10.97,4.5,0.13
1981,8.6,5.26,2.86
1981,10.19,4.6,0.02
1981,14.09,3.37,0
1981,17.25,3.13,0
1981,16.54,4.44,0
1981,11.33,5.84,0
1981,12.85,5.64,0
1981,14.58,5.47,0.01
1981,13.7,6.26,0.03
1981,14.47,4.98,0
1981,14.37,3.55,0
1981,15.68,3.78,0
1981,17.08,4.32,0
1981,17.5,4.86,0
1981,18.76,4.26,0.03
1981,16.97,4.88,0.01
1981,10.26,6.37,7.78
1981,9.66,6.02,1.15
1981,12.45,5.07,0.2
1981,17.29,5.07,0
1981,20.53,5.59,0
1981,20.4,5.78,0
1981,16.92,5.96,0
1981,16.56,6.35,0
1981,13.08,6.71,0.09
1981,16.55,4.53,0
1981,21.89,4.81,0.04
1981,23.56,5.14,0
1981,21.19,6.97,0
1981,19.05,7.71,0
1981,17.78,7.12,0
1981,14.95,5.17,0
1981,15.61,5.1,0
1981,14.65,5.13,0
1981,16.2,3.64,0
1981,17.09,3.48,0
1981,19.51,4.17,0
1981,22.27,4.45,0
1981,22.46,5.54,0
1981,20.17,5.86,0
1981,15.81,6.68,0
1981,17.29,6.78,0
1981,16.12,6.78,0.38
1981,15.25,5.9,0.37
1981,14.63,4.72,0.19
1981,17.35,3.88,0
1981,18.27,5.02,0.01
1981,13.1,6.33,1.41
1981,13,5.56,0.02
1981,15.1,5.14,0
1981,17.49,5.8,0.05
1981,20.58,6.06,0
1981,22.36,7.13,0
1981,20.02,7.93,0.12
1981,18.79,8.83,1.8
1981,18.94,8.33,1.83
1981,20.21,8.02,0
1981,21.33,7.35,0
1981,21.71,6.88,0.15
1981,22.09,6.04,0
1981,22.09,5.41,0.01
1981,19.46,6.16,0.04
1981,23.55,5.87,0
1981,27.91,5.55,0
1981,27.83,6.31,0
1981,24.63,7.37,0
1981,24.85,6.09,0
1981,24.87,7.74,0
1981,25.6,7.38,0
1981,24.3,5.62,0
1981,22.67,5.78,0
1981,21.59,4.74,0
1981,22.32,2.49,0
1981,23.23,2.03,0
1981,24.74,2.33,0
1981,28.11,2.74,0
1981,29.23,3.32,0
1981,27.51,4.1,0
1981,27.96,4.11,0
1981,28.55,5.02,0
1981,27.49,6.22,0
1981,27.18,6.88,0
1981,28.29,6.71,0
1981,29.45,5.54,0
1981,29.64,4.87,0.01
1981,29.91,4.36,0
1981,26.14,5.69,0
1981,24.89,5.46,0
1981,26.52,4.39,0
1981,26.61,3.97,0
1981,23.23,5.57,0
1981,25.08,3.68,0
1981,29.55,4.36,0
1981,29.43,5.61,0
1981,28.87,6.91,0
1981,26.2,7.94,0
1981,25.97,8.04,0
1981,26.06,7.3,0
1981,26.52,6.6,0
1981,25.35,6.6,0
1981,25.87,5.54,0
1981,26.47,5.53,0
1981,26.83,4.66,0
1981,28.65,5,0.24
1981,28.08,6.5,0.3
1981,26.05,7.05,0
1981,25.88,6.73,0
1981,27.18,5.58,0
1981,27.99,4.29,0
1981,28.67,3.46,0
1981,26.81,5,0
1981,25.73,6.2,0
1981,26.46,5.76,0
1981,26.05,5.77,0
1981,24.27,6.33,0
1981,23.98,5.42,0
1981,25.33,4.76,0
1981,25.17,5.92,0
1981,24.95,6.09,0
1981,23.19,5.52,0
1981,23.2,4.8,0
1981,24.64,4.67,0
1981,24.52,4.77,0
1981,22.98,5.9,0.02
1981,23.53,6.08,0
1981,26.78,4.59,0.03
1981,28.94,5.04,0.15
1981,26.63,6.42,0
1981,27.71,6.33,0
1981,27.08,6.38,0
1981,25.89,6.55,0
1981,23.76,7.5,0
1981,24.74,7.84,0.57
1981,24.63,7.61,0.15
1981,26.88,8.21,0.85
1981,27.99,6.82,0.01
1981,26.72,7.42,0
1981,25.83,7.56,0.13
1981,24.06,7.61,0.01
1981,24.77,6.34,0.03
1981,27.82,5.11,0
1981,28.75,3.67,0
1981,26.38,4.88,0
1981,25.93,5.11,0
1981,28.87,6.25,0
1981,31.57,8.19,0.2
1981,32.41,7.08,0.01
1981,32.78,6.5,0.01
1981,32.72,5.73,0
1981,31.37,5.2,0
1981,27.2,4.58,0
1981,24.63,4.79,0
1981,24.89,4.95,0
1981,23.81,5.61,0
1981,23.3,5.53,0
1981,24.73,7.01,0.31
1981,23.12,8.63,0.28
1981,23.12,7.43,0.95
1981,25.34,9.07,0.82
1981,27.21,7.45,0.01
1981,25.72,6.26,0
1981,24.26,6.56,0
1981,24.53,5.62,0
1981,26.33,4.95,0
1981,25.6,5.95,0
1981,25.02,5.77,0
1981,26.56,6.38,0.04
1981,28.07,6.51,0
1981,29.23,6.15,0.17
1981,28.84,5.81,0.07
1981,27.33,6.78,0
1981,24.36,7.23,0
1981,23.43,5.98,0
1981,23.54,4.74,0
1981,21.01,4.72,0
1981,18.91,5.08,0
1981,18.89,6.4,0
1981,20.82,5.28,0
1981,22.51,4.85,0
1981,21.7,5.85,0
1981,16.7,8.67,0.15
1981,20.65,6.59,3.93
1981,18.38,8.84,1.12
1981,15.79,8.57,0.16
1981,15.75,7.66,0.01
1981,15.37,6.98,0.01
1981,17.12,4.25,0
1981,21.41,4.72,0
1981,18.69,6.43,0
1981,17.22,5.84,0
1981,17.24,5.6,0
1981,14.9,6.73,0.96
1981,13.09,6.59,1.57
1981,11.15,4.79,0.05
1981,10.92,5.09,0.09
1981,11.58,4.44,0
1981,12.16,3.62,0
1981,13.72,3.28,0
1981,16,3.01,0
1981,18.74,3.35,0
1981,20.37,3.19,0
1981,20.35,3.35,0
1981,20,3.35,0
1981,19.78,2.69,0
1981,20.34,2.49,0
1981,17.85,3.28,0
1981,17.85,3.97,0
1981,15.35,5.6,0
1981,12.4,5.31,0.8
1981,13.29,6.52,1.83
1981,11.13,5.26,0.05
1981,12.69,2.14,0
1981,14.39,2.04,0.32
1981,17.28,2.74,0
1981,18.84,3.37,0
1981,18.38,3.75,0
1981,17.49,3.77,0
1981,16.85,4.48,0.01
1981,12.73,6.09,0
1981,14.26,5.35,0
1981,17.58,3.92,0
1981,17.96,3.64,0
1981,17.05,3.5,0
1981,17.12,3.41,0
1981,16.39,4.47,0
1981,13.3,5.37,0
1981,13.95,8.44,0.01
1981,16.54,8,0
1981,16.8,5.5,0
1981,14.73,6.58,0
1981,13.91,2.47,0.01
1981,14.4,1.83,0
1981,15.61,1.93,0
1981,15.08,3.41,0
1981,15.01,4.57,0
1981,15.87,4.97,0
1981,13.99,5.93,0.05
1981,9.19,3.17,0.21
1981,7.74,5.45,13.61
1981,8.02,6.12,11.04
1981,7.88,5.62,16.64
1981,6.91,4.38,0.15
1981,8.17,3.67,0.1
1981,9.84,2.9,0.05
1981,13.39,4.28,0
1981,13.98,4.63,0
1981,14.96,4.45,0
1981,15.74,4.45,0
1981,14.5,3.95,0
1981,14.15,3.77,0
1981,16.51,3.88,0
1981,15.41,4.64,0
1981,15.15,5.68,0
1981,11.55,5.76,0
1981,10.52,4.15,0
1981,10.32,4.24,0
1981,13.41,3.84,0
1981,14.87,4.99,0
1981,12.94,4.65,0
1981,12.36,3,0
1981,13.38,3.2,0
1981,15.44,4.62,0
1981,12.36,6.81,0.78
1981,8.53,5.25,0.07
1981,7.36,2.57,0
1981,6.8,1.91,0
1981,7.71,2.03,0.07
1981,9.91,3.26,0
1981,10.03,4.17,0
1981,7.82,4.9,0.05
1981,9.72,3.7,0
1981,9.41,5.24,0.55
1981,10.43,7.72,9.22
1981,8.44,6.4,3.65
1982,7.21,5.46,13.27
1982,2.51,3.85,0.92
1982,2.82,2.17,0
1982,4.37,3.32,2.84
1982,7.97,6.87,15.6
1982,6.41,3.83,0.19
1982,2.39,1.03,0
1982,4.38,1.22,0
1982,8.9,2.26,0.31
1982,10.61,4.3,3.63
1982,9.36,5.84,0.18
1982,8.07,4.53,0
1982,7.1,2.47,0
1982,8.94,3.1,0
1982,10.39,3,0
1982,11.76,3,0.01
1982,11.69,3.41,0
1982,7.66,4.18,0.05
1982,5.64,3.93,3.63
1982,7.08,6.31,42.41
1982,4.2,4.51,4.97
1982,3.91,2.88,0
1982,6.82,2.82,0
1982,12.34,4.58,0.26
1982,13.69,4.61,0.04
1982,8.91,5.53,0.01
1982,8.34,5.38,0.14
1982,6.53,5.53,5.21
1982,6,3.33,0.06
1982,7.32,2.6,0.13
1982,9.19,3.16,0.03
1982,7.83,2.41,0.01
1982,7.25,2.71,0
1982,7.95,3.78,0
1982,6.8,4.85,0
1982,5.7,1.92,0
1982,5.62,1.76,0.04
1982,5.49,3.17,1
1982,6.62,4.94,0.74
1982,6.66,5.75,6.9
1982,7.65,6.87,26.85
1982,10.04,5.56,1.34
1982,9.01,3.95,0.06
1982,11.36,4.97,0
1982,12.31,6.96,0.1
1982,12.19,7.69,0.57
1982,12.99,8.09,0.21
1982,11.91,5.34,0
